ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300150.SZ,20250422,4.45,4.57,4.44,4.55,4.46,0.09,2.02,166110.11,74671.47
300150.SZ,20250421,4.33,4.48,4.28,4.46,4.36,0.10,2.29,134834.00,59767.92
300150.SZ,20250418,4.33,4.39,4.27,4.36,4.35,0.01,0.23,114271.00,49516.50
300150.SZ,20250417,4.27,4.40,4.27,4.35,4.33,0.02,0.46,127011.00,55425.96
300150.SZ,20250416,4.44,4.46,4.23,4.33,4.48,-0.15,-3.35,156157.01,67724.10
300150.SZ,20250415,4.44,4.55,4.43,4.48,4.46,0.02,0.45,174566.04,78133.18
300150.SZ,20250414,4.53,4.55,4.41,4.46,4.43,0.03,0.68,236314.04,105608.54
300150.SZ,20250411,4.37,4.55,4.32,4.43,4.44,-0.01,-0.23,327011.00,145320.26
300150.SZ,20250410,4.11,4.80,4.11,4.44,4.07,0.37,9.09,419732.79,187122.80
300150.SZ,20250409,3.87,4.11,3.55,4.07,3.94,0.13,3.30,222399.00,85933.86
300150.SZ,20250408,3.86,4.16,3.81,3.94,3.75,0.19,5.07,229455.00,90730.15
300150.SZ,20250407,4.35,4.35,3.72,3.75,4.65,-0.90,-19.35,230582.98,91150.61
